Destino	Concepto turístico	Tipo de dato	Periodo	Total
03 Asturias, Principado de	Gasto total	Distribución porcentual	2018	1,8
03 Asturias, Principado de	Gasto total	Distribución porcentual	2017	2,1
03 Asturias, Principado de	Gasto total	Distribución porcentual	2016	1,8
03 Asturias, Principado de	Gasto total	Distribución porcentual	2015	2,1
03 Asturias, Principado de	Gasto total	Variación anual	2023	17,33
03 Asturias, Principado de	Gasto total	Variación anual	2022	42,44
03 Asturias, Principado de	Gasto total	Variación anual	2021	33,51
03 Asturias, Principado de	Gasto total	Variación anual	2020	-37,38
03 Asturias, Principado de	Gasto total	Variación anual	2019	7,62
03 Asturias, Principado de	Gasto total	Variación anual	2018	-6,64
03 Asturias, Principado de	Gasto total	Variación anual	2017	23,38
03 Asturias, Principado de	Gasto total	Variación anual	2016	-8,16
03 Asturias, Principado de	Gasto total	Variación anual	2015	""
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2023	270,95
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2022	271,17
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2021	244,41
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2020	210,8
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2019	190,47
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2018	176,45
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2017	190,8
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2016	178,71
03 Asturias, Principado de	Gasto medio por persona	Valor absoluto	2015	170,68
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2023	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2022	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2021	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2020	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2019	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2018	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2017	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2016	""
03 Asturias, Principado de	Gasto medio por persona	Distribución porcentual	2015	""
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2023	-0,08
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2022	10,95
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2021	15,94
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2020	10,68
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2019	7,94
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2018	-7,52
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2017	6,76
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2016	4,7
03 Asturias, Principado de	Gasto medio por persona	Variación anual	2015	""
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2023	59,12
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2022	60,91
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2021	50,7
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2020	41,87
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2019	50,1
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2018	50,92
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2017	48,05
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2016	45,58
03 Asturias, Principado de	Gasto medio diario por persona	Valor absoluto	2015	42,65
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2023	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2022	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2021	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2020	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2019	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2018	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2017	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2016	""
03 Asturias, Principado de	Gasto medio diario por persona	Distribución porcentual	2015	""
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2023	-2,94
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2022	20,13
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2021	21,1
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2020	-16,43
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2019	-1,61
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2018	5,96
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2017	5,42
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2016	6,86
03 Asturias, Principado de	Gasto medio diario por persona	Variación anual	2015	""
04 Balears, Illes	Viajes	Valor absoluto	2023	3.589.990
04 Balears, Illes	Viajes	Valor absoluto	2022	3.860.853
04 Balears, Illes	Viajes	Valor absoluto	2021	3.749.841
04 Balears, Illes	Viajes	Valor absoluto	2020	2.013.829
04 Balears, Illes	Viajes	Valor absoluto	2019	3.275.923
04 Balears, Illes	Viajes	Valor absoluto	2018	3.347.957
04 Balears, Illes	Viajes	Valor absoluto	2017	3.352.137
04 Balears, Illes	Viajes	Valor absoluto	2016	3.237.272
04 Balears, Illes	Viajes	Valor absoluto	2015	3.450.855
04 Balears, Illes	Viajes	Distribución porcentual	2023	1,9
04 Balears, Illes	Viajes	Distribución porcentual	2022	2,3
04 Balears, Illes	Viajes	Distribución porcentual	2021	2,6
04 Balears, Illes	Viajes	Distribución porcentual	2020	2
04 Balears, Illes	Viajes	Distribución porcentual	2019	1,7
04 Balears, Illes	Viajes	Distribución porcentual	2018	1,7
04 Balears, Illes	Viajes	Distribución porcentual	2017	1,7
04 Balears, Illes	Viajes	Distribución porcentual	2016	1,8
04 Balears, Illes	Viajes	Distribución porcentual	2015	2
04 Balears, Illes	Viajes	Variación anual	2023	-7,02
04 Balears, Illes	Viajes	Variación anual	2022	2,96
04 Balears, Illes	Viajes	Variación anual	2021	86,2
04 Balears, Illes	Viajes	Variación anual	2020	-38,53
04 Balears, Illes	Viajes	Variación anual	2019	-2,15
04 Balears, Illes	Viajes	Variación anual	2018	-0,12
04 Balears, Illes	Viajes	Variación anual	2017	3,55
04 Balears, Illes	Viajes	Variación anual	2016	-6,19
04 Balears, Illes	Viajes	Variación anual	2015	""
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2023	4,46
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2022	4,15
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2021	4,58
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2020	5,07
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2019	4,58
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2018	4,44
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2017	4,58
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2016	5,46
04 Balears, Illes	Duración media de los viajes	Valor absoluto	2015	5,48
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2023	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2022	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2021	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2020	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2019	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2018	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2017	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2016	""
04 Balears, Illes	Duración media de los viajes	Distribución porcentual	2015	""
04 Balears, Illes	Duración media de los viajes	Variación anual	2023	7,48
04 Balears, Illes	Duración media de los viajes	Variación anual	2022	-9,4
04 Balears, Illes	Duración media de los viajes	Variación anual	2021	-9,53
04 Balears, Illes	Duración media de los viajes	Variación anual	2020	10,69
04 Balears, Illes	Duración media de los viajes	Variación anual	2019	3,06
04 Balears, Illes	Duración media de los viajes	Variación anual	2018	-3,14
04 Balears, Illes	Duración media de los viajes	Variación anual	2017	-15,97
04 Balears, Illes	Duración media de los viajes	Variación anual	2016	-0,47
04 Balears, Illes	Duración media de los viajes	Variación anual	2015	""
04 Balears, Illes	Pernoctaciones	Valor absoluto	2023	16.019.755
04 Balears, Illes	Pernoctaciones	Valor absoluto	2022	16.028.800
04 Balears, Illes	Pernoctaciones	Valor absoluto	2021	17.183.091
04 Balears, Illes	Pernoctaciones	Valor absoluto	2020	10.200.136
04 Balears, Illes	Pernoctaciones	Valor absoluto	2019	14.990.893
04 Balears, Illes	Pernoctaciones	Valor absoluto	2018	14.865.663
04 Balears, Illes	Pernoctaciones	Valor absoluto	2017	15.366.535
04 Balears, Illes	Pernoctaciones	Valor absoluto	2016	17.659.862
04 Balears, Illes	Pernoctaciones	Valor absoluto	2015	18.914.450
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2023	2
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2022	2,1
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2021	2,7
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2020	2,1
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2019	1,9
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2018	1,9
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2017	1,9
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2016	2,3
04 Balears, Illes	Pernoctaciones	Distribución porcentual	2015	2,5
04 Balears, Illes	Pernoctaciones	Variación anual	2023	-0,06
04 Balears, Illes	Pernoctaciones	Variación anual	2022	-6,72
04 Balears, Illes	Pernoctaciones	Variación anual	2021	68,46
04 Balears, Illes	Pernoctaciones	Variación anual	2020	-31,96
04 Balears, Illes	Pernoctaciones	Variación anual	2019	0,84
04 Balears, Illes	Pernoctaciones	Variación anual	2018	-3,26
04 Balears, Illes	Pernoctaciones	Variación anual	2017	-12,99
04 Balears, Illes	Pernoctaciones	Variación anual	2016	-6,63
04 Balears, Illes	Pernoctaciones	Variación anual	2015	""
04 Balears, Illes	Gasto total	Valor absoluto	2023	1.473.450,68
04 Balears, Illes	Gasto total	Valor absoluto	2022	1.267.878,11
04 Balears, Illes	Gasto total	Valor absoluto	2021	1.190.417,65
04 Balears, Illes	Gasto total	Valor absoluto	2020	602.701,62
04 Balears, Illes	Gasto total	Valor absoluto	2019	1.031.562,7
04 Balears, Illes	Gasto total	Valor absoluto	2018	1.071.233,85
04 Balears, Illes	Gasto total	Valor absoluto	2017	1.038.464,71
04 Balears, Illes	Gasto total	Valor absoluto	2016	1.123.783,71
04 Balears, Illes	Gasto total	Valor absoluto	2015	1.013.400,45
04 Balears, Illes	Gasto total	Distribución porcentual	2023	2,5
04 Balears, Illes	Gasto total	Distribución porcentual	2022	2,5
04 Balears, Illes	Gasto total	Distribución porcentual	2021	3,7
04 Balears, Illes	Gasto total	Distribución porcentual	2020	2,9
04 Balears, Illes	Gasto total	Distribución porcentual	2019	2,1
04 Balears, Illes	Gasto total	Distribución porcentual	2018	2,3
04 Balears, Illes	Gasto total	Distribución porcentual	2017	2,3
04 Balears, Illes	Gasto total	Distribución porcentual	2016	2,7
04 Balears, Illes	Gasto total	Distribución porcentual	2015	2,7
04 Balears, Illes	Gasto total	Variación anual	2023	16,21
04 Balears, Illes	Gasto total	Variación anual	2022	6,51
04 Balears, Illes	Gasto total	Variación anual	2021	97,51
04 Balears, Illes	Gasto total	Variación anual	2020	-41,57
04 Balears, Illes	Gasto total	Variación anual	2019	-3,7
04 Balears, Illes	Gasto total	Variación anual	2018	3,16
04 Balears, Illes	Gasto total	Variación anual	2017	-7,59
04 Balears, Illes	Gasto total	Variación anual	2016	10,89
04 Balears, Illes	Gasto total	Variación anual	2015	""
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2023	410,43
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2022	328,39
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2021	317,46
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2020	299,28
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2019	314,89
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2018	319,97
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2017	309,79
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2016	347,14
04 Balears, Illes	Gasto medio por persona	Valor absoluto	2015	293,67
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2023	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2022	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2021	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2020	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2019	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2018	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2017	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2016	""
04 Balears, Illes	Gasto medio por persona	Distribución porcentual	2015	""
04 Balears, Illes	Gasto medio por persona	Variación anual	2023	24,98
04 Balears, Illes	Gasto medio por persona	Variación anual	2022	3,44
04 Balears, Illes	Gasto medio por persona	Variación anual	2021	6,07
04 Balears, Illes	Gasto medio por persona	Variación anual	2020	-4,96
04 Balears, Illes	Gasto medio por persona	Variación anual	2019	-1,59
04 Balears, Illes	Gasto medio por persona	Variación anual	2018	3,28
04 Balears, Illes	Gasto medio por persona	Variación anual	2017	-10,76
04 Balears, Illes	Gasto medio por persona	Variación anual	2016	18,21
04 Balears, Illes	Gasto medio por persona	Variación anual	2015	""
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2023	91,98
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2022	79,1
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2021	69,28
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2020	59,09
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2019	68,81
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2018	72,06
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2017	67,58
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2016	63,63
04 Balears, Illes	Gasto medio diario por persona	Valor absoluto	2015	53,58
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2023	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2022	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2021	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2020	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2019	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2018	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2017	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2016	""
04 Balears, Illes	Gasto medio diario por persona	Distribución porcentual	2015	""
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2023	16,28
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2022	14,18
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2021	17,25
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2020	-14,13
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2019	-4,51
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2018	6,63
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2017	6,2
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2016	18,77
04 Balears, Illes	Gasto medio diario por persona	Variación anual	2015	""
05 Canarias	Viajes	Valor absoluto	2023	7.110.501
05 Canarias	Viajes	Valor absoluto	2022	5.444.887
05 Canarias	Viajes	Valor absoluto	2021	5.164.547
05 Canarias	Viajes	Valor absoluto	2020	4.232.707
05 Canarias	Viajes	Valor absoluto	2019	6.510.876
05 Canarias	Viajes	Valor absoluto	2018	6.427.100
05 Canarias	Viajes	Valor absoluto	2017	6.267.175
05 Canarias	Viajes	Valor absoluto	2016	5.712.319
05 Canarias	Viajes	Valor absoluto	2015	5.515.629
05 Canarias	Viajes	Distribución porcentual	2023	3,8
05 Canarias	Viajes	Distribución porcentual	2022	3,2
05 Canarias	Viajes	Distribución porcentual	2021	3,6
05 Canarias	Viajes	Distribución porcentual	2020	4,2
05 Canarias	Viajes	Distribución porcentual	2019	3,4
05 Canarias	Viajes	Distribución porcentual	2018	3,3
05 Canarias	Viajes	Distribución porcentual	2017	3,2
05 Canarias	Viajes	Distribución porcentual	2016	3,1
05 Canarias	Viajes	Distribución porcentual	2015	3,1
05 Canarias	Viajes	Variación anual	2023	30,59
05 Canarias	Viajes	Variación anual	2022	5,43
05 Canarias	Viajes	Variación anual	2021	22,02
05 Canarias	Viajes	Variación anual	2020	-34,99
05 Canarias	Viajes	Variación anual	2019	1,3
05 Canarias	Viajes	Variación anual	2018	2,55
05 Canarias	Viajes	Variación anual	2017	9,71
05 Canarias	Viajes	Variación anual	2016	3,57
05 Canarias	Viajes	Variación anual	2015	""
05 Canarias	Duración media de los viajes	Valor absoluto	2023	3,86
05 Canarias	Duración media de los viajes	Valor absoluto	2022	4,51
05 Canarias	Duración media de los viajes	Valor absoluto	2021	4,16
05 Canarias	Duración media de los viajes	Valor absoluto	2020	4,19
05 Canarias	Duración media de los viajes	Valor absoluto	2019	4,01
05 Canarias	Duración media de los viajes	Valor absoluto	2018	4,08
05 Canarias	Duración media de los viajes	Valor absoluto	2017	4,29
05 Canarias	Duración media de los viajes	Valor absoluto	2016	4,23
05 Canarias	Duración media de los viajes	Valor absoluto	2015	4,26
05 Canarias	Duración media de los viajes	Distribución porcentual	2023	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2022	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2021	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2020	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2019	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2018	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2017	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2016	""
05 Canarias	Duración media de los viajes	Distribución porcentual	2015	""
05 Canarias	Duración media de los viajes	Variación anual	2023	-14,36
05 Canarias	Duración media de los viajes	Variación anual	2022	8,39
05 Canarias	Duración media de los viajes	Variación anual	2021	-0,68
05 Canarias	Duración media de los viajes	Variación anual	2020	4,37
05 Canarias	Duración media de los viajes	Variación anual	2019	-1,72
05 Canarias	Duración media de los viajes	Variación anual	2018	-4,97
05 Canarias	Duración media de los viajes	Variación anual	2017	1,59
05 Canarias	Duración media de los viajes	Variación anual	2016	-0,68
05 Canarias	Duración media de los viajes	Variación anual	2015	""
05 Canarias	Pernoctaciones	Valor absoluto	2023	27.444.802
05 Canarias	Pernoctaciones	Valor absoluto	2022	24.538.620
05 Canarias	Pernoctaciones	Valor absoluto	2021	21.472.725
05 Canarias	Pernoctaciones	Valor absoluto	2020	17.718.418
05 Canarias	Pernoctaciones	Valor absoluto	2019	26.114.134
05 Canarias	Pernoctaciones	Valor absoluto	2018	26.229.090
05 Canarias	Pernoctaciones	Valor absoluto	2017	26.915.319
05 Canarias	Pernoctaciones	Valor absoluto	2016	24.147.467
05 Canarias	Pernoctaciones	Valor absoluto	2015	23.474.577
05 Canarias	Pernoctaciones	Distribución porcentual	2023	3,4
05 Canarias	Pernoctaciones	Distribución porcentual	2022	3,3
05 Canarias	Pernoctaciones	Distribución porcentual	2021	3,4
05 Canarias	Pernoctaciones	Distribución porcentual	2020	3,6
05 Canarias	Pernoctaciones	Distribución porcentual	2019	3,3
05 Canarias	Pernoctaciones	Distribución porcentual	2018	3,3
05 Canarias	Pernoctaciones	Distribución porcentual	2017	3,4
05 Canarias	Pernoctaciones	Distribución porcentual	2016	3,1
05 Canarias	Pernoctaciones	Distribución porcentual	2015	3,1
05 Canarias	Pernoctaciones	Variación anual	2023	11,84
05 Canarias	Pernoctaciones	Variación anual	2022	14,28
05 Canarias	Pernoctaciones	Variación anual	2021	21,19
05 Canarias	Pernoctaciones	Variación anual	2020	-32,15
05 Canarias	Pernoctaciones	Variación anual	2019	-0,44
05 Canarias	Pernoctaciones	Variación anual	2018	-2,55
05 Canarias	Pernoctaciones	Variación anual	2017	11,46
05 Canarias	Pernoctaciones	Variación anual	2016	2,87
05 Canarias	Pernoctaciones	Variación anual	2015	""
05 Canarias	Gasto total	Valor absoluto	2023	2.462.800,86
05 Canarias	Gasto total	Valor absoluto	2022	2.142.781,23
05 Canarias	Gasto total	Valor absoluto	2021	1.565.267,49
05 Canarias	Gasto total	Valor absoluto	2020	1.026.068,3
05 Canarias	Gasto total	Valor absoluto	2019	1.873.035,05
05 Canarias	Gasto total	Valor absoluto	2018	1.802.488,81
05 Canarias	Gasto total	Valor absoluto	2017	1.796.771,76
05 Canarias	Gasto total	Valor absoluto	2016	1.606.192,12
05 Canarias	Gasto total	Valor absoluto	2015	1.427.744,04
05 Canarias	Gasto total	Distribución porcentual	2023	4,2
05 Canarias	Gasto total	Distribución porcentual	2022	4,3
05 Canarias	Gasto total	Distribución porcentual	2021	4,8
05 Canarias	Gasto total	Distribución porcentual	2020	4,9
05 Canarias	Gasto total	Distribución porcentual	2019	3,9
05 Canarias	Gasto total	Distribución porcentual	2018	3,8
05 Canarias	Gasto total	Distribución porcentual	2017	4,1
05 Canarias	Gasto total	Distribución porcentual	2016	3,9
05 Canarias	Gasto total	Distribución porcentual	2015	3,8
05 Canarias	Gasto total	Variación anual	2023	14,93
05 Canarias	Gasto total	Variación anual	2022	36,9
05 Canarias	Gasto total	Variación anual	2021	52,55
05 Canarias	Gasto total	Variación anual	2020	-45,22
05 Canarias	Gasto total	Variación anual	2019	3,91
05 Canarias	Gasto total	Variación anual	2018	0,32
05 Canarias	Gasto total	Variación anual	2017	11,87
05 Canarias	Gasto total	Variación anual	2016	12,5
05 Canarias	Gasto total	Variación anual	2015	""
05 Canarias	Gasto medio por persona	Valor absoluto	2023	346,36
05 Canarias	Gasto medio por persona	Valor absoluto	2022	393,54
05 Canarias	Gasto medio por persona	Valor absoluto	2021	303,08
05 Canarias	Gasto medio por persona	Valor absoluto	2020	242,41
05 Canarias	Gasto medio por persona	Valor absoluto	2019	287,68
05 Canarias	Gasto medio por persona	Valor absoluto	2018	280,45
05 Canarias	Gasto medio por persona	Valor absoluto	2017	286,7
05 Canarias	Gasto medio por persona	Valor absoluto	2016	281,18
05 Canarias	Gasto medio por persona	Valor absoluto	2015	258,85
05 Canarias	Gasto medio por persona	Distribución porcentual	2023	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2022	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2021	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2020	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2019	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2018	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2017	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2016	""
05 Canarias	Gasto medio por persona	Distribución porcentual	2015	""
05 Canarias	Gasto medio por persona	Variación anual	2023	-11,99
05 Canarias	Gasto medio por persona	Variación anual	2022	29,85
05 Canarias	Gasto medio por persona	Variación anual	2021	25,03
05 Canarias	Gasto medio por persona	Variación anual	2020	-15,73
05 Canarias	Gasto medio por persona	Variación anual	2019	2,58
05 Canarias	Gasto medio por persona	Variación anual	2018	-2,18
05 Canarias	Gasto medio por persona	Variación anual	2017	1,96
05 Canarias	Gasto medio por persona	Variación anual	2016	8,62
05 Canarias	Gasto medio por persona	Variación anual	2015	""
05 Canarias	Gasto medio diario por persona	Valor absoluto	2023	89,74
05 Canarias	Gasto medio diario por persona	Valor absoluto	2022	87,32
05 Canarias	Gasto medio diario por persona	Valor absoluto	2021	72,9
05 Canarias	Gasto medio diario por persona	Valor absoluto	2020	57,91
05 Canarias	Gasto medio diario por persona	Valor absoluto	2019	71,72
05 Canarias	Gasto medio diario por persona	Valor absoluto	2018	68,72
05 Canarias	Gasto medio diario por persona	Valor absoluto	2017	66,76
05 Canarias	Gasto medio diario por persona	Valor absoluto	2016	66,52
05 Canarias	Gasto medio diario por persona	Valor absoluto	2015	60,82
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2023	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2022	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2021	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2020	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2019	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2018	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2017	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2016	""
05 Canarias	Gasto medio diario por persona	Distribución porcentual	2015	""
05 Canarias	Gasto medio diario por persona	Variación anual	2023	2,76
05 Canarias	Gasto medio diario por persona	Variación anual	2022	19,79
05 Canarias	Gasto medio diario por persona	Variación anual	2021	25,88
05 Canarias	Gasto medio diario por persona	Variación anual	2020	-19,26
05 Canarias	Gasto medio diario por persona	Variación anual	2019	4,37
05 Canarias	Gasto medio diario por persona	Variación anual	2018	2,94
05 Canarias	Gasto medio diario por persona	Variación anual	2017	0,36
05 Canarias	Gasto medio diario por persona	Variación anual	2016	9,36
05 Canarias	Gasto medio diario por persona	Variación anual	2015	""
06 Cantabria	Viajes	Valor absoluto	2023	4.201.776
06 Cantabria	Viajes	Valor absoluto	2022	3.609.734
06 Cantabria	Viajes	Valor absoluto	2021	3.283.630
06 Cantabria	Viajes	Valor absoluto	2020	2.388.452
06 Cantabria	Viajes	Valor absoluto	2019	4.037.654
06 Cantabria	Viajes	Valor absoluto	2018	4.433.418
06 Cantabria	Viajes	Valor absoluto	2017	4.627.295
06 Cantabria	Viajes	Valor absoluto	2016	4.168.632
06 Cantabria	Viajes	Valor absoluto	2015	3.701.665
06 Cantabria	Viajes	Distribución porcentual	2023	2,3
06 Cantabria	Viajes	Distribución porcentual	2022	2,1
06 Cantabria	Viajes	Distribución porcentual	2021	2,3
06 Cantabria	Viajes	Distribución porcentual	2020	2,4
06 Cantabria	Viajes	Distribución porcentual	2019	2,1
06 Cantabria	Viajes	Distribución porcentual	2018	2,3
06 Cantabria	Viajes	Distribución porcentual	2017	2,4
06 Cantabria	Viajes	Distribución porcentual	2016	2,3
06 Cantabria	Viajes	Distribución porcentual	2015	2,1
06 Cantabria	Viajes	Variación anual	2023	16,4
06 Cantabria	Viajes	Variación anual	2022	9,93
06 Cantabria	Viajes	Variación anual	2021	37,48
06 Cantabria	Viajes	Variación anual	2020	-40,85
06 Cantabria	Viajes	Variación anual	2019	-8,93
06 Cantabria	Viajes	Variación anual	2018	-4,19
06 Cantabria	Viajes	Variación anual	2017	11
06 Cantabria	Viajes	Variación anual	2016	12,62
06 Cantabria	Viajes	Variación anual	2015	""
06 Cantabria	Duración media de los viajes	Valor absoluto	2023	4,37
06 Cantabria	Duración media de los viajes	Valor absoluto	2022	4,08
06 Cantabria	Duración media de los viajes	Valor absoluto	2021	4,47
06 Cantabria	Duración media de los viajes	Valor absoluto	2020	4,91
06 Cantabria	Duración media de los viajes	Valor absoluto	2019	4
06 Cantabria	Duración media de los viajes	Valor absoluto	2018	4,03
06 Cantabria	Duración media de los viajes	Valor absoluto	2017	4,29
06 Cantabria	Duración media de los viajes	Valor absoluto	2016	4,12
06 Cantabria	Duración media de los viajes	Valor absoluto	2015	3,67
06 Cantabria	Duración media de los viajes	Distribución porcentual	2023	""
06 Cantabria	Duración media de los viajes	Distribución porcentual	2022	""
06 Cantabria	Duración media de los viajes	Distribución porcentual	2021	""
06 Cantabria	Duración media de los viajes	Distribución porcentual	2020	""
