Edad	Duración	Destino	Tipo de dato	Periodo	Total
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	2,46
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	0,49
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	..
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	22,49
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	26,58
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	24,92
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	21,65
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	19,93
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	17,38
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,63
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	4,94
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	4,72
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	4,16
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	3,81
De 15 a 24 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	3,48
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2021	50,06
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2020	60,43
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2019	65,13
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2018	63,15
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2017	59,46
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2016	61,99
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2015	57,73
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2021	12,3
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2020	12,43
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2019	12,11
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2018	11,95
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2017	11,41
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2016	11,85
De 15 a 24 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2015	11,56
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2021	42,6
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2020	32,95
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2019	33,53
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2018	31,57
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2017	31,14
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2016	34,44
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2015	32,69
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2021	10,47
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2020	6,78
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2019	6,23
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2018	5,97
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2017	5,97
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2016	6,58
De 15 a 24 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2015	6,54
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	5,14
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	5,48
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	6,15
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	6,14
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	6,35
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	..
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	0,96
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,04
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,18
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,17
De 15 a 24 años	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,27
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	..
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	23,48
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	26,46
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	26,1
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	22,17
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	21,41
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	18,69
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,83
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	4,92
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	4,94
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	4,25
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,09
De 15 a 24 años	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	3,74
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2022	78,56
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2021	67,34
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2020	74,86
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2019	79,46
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2018	76,4
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2017	77,17
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2016	75,72
De 25 a 34 años	Total	Total	Porcentaje sobre personas de la categoría	2015	71,68
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2022	7,76
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2021	16,1
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2020	15,4
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2019	15,18
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2018	15,3
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2017	16,13
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2016	16,32
De 25 a 34 años	Total	Total	Porcentaje sobre el total de viajeros 	2015	16,92
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2022	49,03
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2021	55,17
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2020	45,53
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2019	42,48
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2018	43,22
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2017	43,81
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2016	47,07
De 25 a 34 años	Total	Solo España	Porcentaje sobre personas de la categoría	2015	45,16
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2022	4,84
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2021	13,19
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2020	9,37
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2019	8,12
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2018	8,65
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2017	9,16
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2016	10,14
De 25 a 34 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2015	10,66
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2020	4,4
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2019	7,43
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2018	5,93
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2017	7,26
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2016	6,27
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2015	7,24
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	0,91
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,42
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,19
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,52
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,35
De 25 a 34 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,71
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2022	23,28
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2021	8,5
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2020	24,93
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2019	29,55
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2018	27,25
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2017	26,1
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2016	22,38
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2015	19,28
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2022	2,3
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2021	2,03
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2020	5,13
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2019	5,65
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,46
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,46
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,82
De 25 a 34 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2015	4,55
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2022	66,73
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2021	56,32
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2020	63,09
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2019	63,96
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2018	62,46
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2017	65,12
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2016	59,09
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2015	56,46
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2022	6,59
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2021	13,46
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2020	12,98
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2019	12,22
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2018	12,51
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2017	13,61
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2016	12,73
De 25 a 34 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2015	13,33
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2022	41,59
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2021	46,45
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2020	37,49
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2019	33,92
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2018	34,93
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2017	38,06
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2016	37,25
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2015	36,74
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2022	4,11
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2021	11,1
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2020	7,71
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2019	6,48
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2018	6,99
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2017	7,96
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2016	8,03
De 25 a 34 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2015	8,67
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	2,63
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	1,76
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	0,55
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	..
De 25 a 34 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	0,42
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	22,48
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	7,84
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	23,23
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	27,71
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	25,22
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	24,43
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	20,66
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	17,95
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	2,22
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	1,87
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	4,78
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	5,29
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,05
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	5,11
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,45
De 25 a 34 años	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	4,24
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2022	62,3
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2021	44,49
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2020	57,69
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2019	64,36
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2018	58,21
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2017	56,6
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2016	55,6
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2015	54,09
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2022	6,15
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2021	10,64
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2020	11,87
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2019	12,3
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2018	11,66
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2017	11,83
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2016	11,98
De 25 a 34 años	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2015	12,77
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2022	35,93
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2021	33,76
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2020	32,02
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2019	30,39
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2018	27,38
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2017	26,52
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2016	29,03
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2015	29,39
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2022	3,55
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2021	8,07
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2020	6,59
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2019	5,8
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2018	5,48
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2017	5,54
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2016	6,26
De 25 a 34 años	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2015	6,94
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	2,97
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	6,31
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	5,18
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	6,05
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	5,6
De 25 a 34 años	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	6,59
