Nivel de formación	Concepto turístico	Tipo de dato	Periodo	Total
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2017T4	5,83
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2017T3	6
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2017T2	4,11
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2017T1	4,36
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2016T4	6,17
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2016T3	6,16
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2016T2	4,14
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2016T1	4,31
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2015T4	5,91
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2015T3	6,2
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2015T2	4,35
Educación primaria e inferior	Duración media de los viajes	Acumulado en lo que va de año	2015T1	4,68
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2023T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2023T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2023T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2023T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2022T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2022T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2022T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2022T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2021T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2021T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2021T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2021T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2020T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2020T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2020T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2020T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2019T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2019T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2019T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2019T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2018T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2018T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2018T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2018T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2017T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2017T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2017T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2017T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2016T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2016T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2016T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2016T1	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2015T4	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2015T3	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2015T2	""
Educación primaria e inferior	Duración media de los viajes	Distribución porcentual del acumulado	2015T1	""
Educación primaria e inferior	Duración media de los viajes	Variación anual	2023T4	3,94
Educación primaria e inferior	Duración media de los viajes	Variación anual	2023T3	-2,78
Educación primaria e inferior	Duración media de los viajes	Variación anual	2023T2	-20,08
Educación primaria e inferior	Duración media de los viajes	Variación anual	2023T1	4,94
Educación primaria e inferior	Duración media de los viajes	Variación anual	2022T4	-4,14
Educación primaria e inferior	Duración media de los viajes	Variación anual	2022T3	-1,82
Educación primaria e inferior	Duración media de los viajes	Variación anual	2022T2	50,75
Educación primaria e inferior	Duración media de los viajes	Variación anual	2022T1	-3
Educación primaria e inferior	Duración media de los viajes	Variación anual	2021T4	-6,11
Educación primaria e inferior	Duración media de los viajes	Variación anual	2021T3	13,18
Educación primaria e inferior	Duración media de los viajes	Variación anual	2021T2	-58,64
Educación primaria e inferior	Duración media de los viajes	Variación anual	2021T1	-17,72
Educación primaria e inferior	Duración media de los viajes	Variación anual	2020T4	-5,35
Educación primaria e inferior	Duración media de los viajes	Variación anual	2020T3	-5,81
Educación primaria e inferior	Duración media de los viajes	Variación anual	2020T2	123,1
Educación primaria e inferior	Duración media de los viajes	Variación anual	2020T1	36,47
Educación primaria e inferior	Duración media de los viajes	Variación anual	2019T4	7,33
Educación primaria e inferior	Duración media de los viajes	Variación anual	2019T3	2,5
Educación primaria e inferior	Duración media de los viajes	Variación anual	2019T2	-9,9
Educación primaria e inferior	Duración media de los viajes	Variación anual	2019T1	1,07
Educación primaria e inferior	Duración media de los viajes	Variación anual	2018T4	-7,93
Educación primaria e inferior	Duración media de los viajes	Variación anual	2018T3	-2,04
Educación primaria e inferior	Duración media de los viajes	Variación anual	2018T2	8,27
Educación primaria e inferior	Duración media de los viajes	Variación anual	2018T1	-10,92
Educación primaria e inferior	Duración media de los viajes	Variación anual	2017T4	-18,91
Educación primaria e inferior	Duración media de los viajes	Variación anual	2017T3	-7,2
Educación primaria e inferior	Duración media de los viajes	Variación anual	2017T2	-2,33
Educación primaria e inferior	Duración media de los viajes	Variación anual	2017T1	1,19
Educación primaria e inferior	Duración media de los viajes	Variación anual	2016T4	26,19
Educación primaria e inferior	Duración media de los viajes	Variación anual	2016T3	2,2
Educación primaria e inferior	Duración media de los viajes	Variación anual	2016T2	-4,21
Educación primaria e inferior	Duración media de los viajes	Variación anual	2016T1	-7,98
Educación primaria e inferior	Duración media de los viajes	Variación anual	2015T4	""
Educación primaria e inferior	Duración media de los viajes	Variación anual	2015T3	""
Educación primaria e inferior	Duración media de los viajes	Variación anual	2015T2	""
Educación primaria e inferior	Duración media de los viajes	Variación anual	2015T1	""
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T4	-4,97
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T3	-7,01
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T2	-11,68
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T1	4,94
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T4	9,28
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T3	10,19
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T2	28,58
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T1	-3
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T4	-15,79
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T3	-14,36
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T2	-38,26
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T1	-17,72
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T4	21,24
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T3	24,9
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T2	59,83
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T1	36,47
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T4	-1,72
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T3	-2,93
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T2	-5,08
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T1	1,07
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T4	-3,37
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T3	-2,32
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T2	-0,9
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T1	-10,92
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T4	-5,55
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T3	-2,6
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T2	-0,68
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T1	1,19
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T4	4,31
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T3	-0,58
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T2	-4,82
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T1	-7,98
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T4	""
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T3	""
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T2	""
Educación primaria e inferior	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T1	""
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2023T4	9.642.990
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2023T3	33.115.704
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2023T2	12.943.714
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2023T1	8.219.843
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2022T4	8.806.583
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2022T3	30.354.068
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2022T2	13.574.620
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2022T1	6.942.796
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2021T4	8.212.945
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2021T3	20.562.462
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2021T2	7.015.728
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2021T1	4.385.696
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2020T4	4.242.006
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2020T3	18.306.705
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2020T2	5.016.146
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2020T1	8.944.875
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2019T4	14.791.811
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2019T3	35.744.669
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2019T2	13.264.870
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2019T1	11.905.978
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2018T4	11.800.396
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2018T3	38.587.457
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2018T2	14.576.736
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2018T1	11.330.534
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2017T4	11.862.832
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2017T3	39.639.326
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2017T2	13.336.948
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2017T1	11.898.561
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2016T4	17.065.753
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2016T3	39.595.597
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2016T2	14.297.898
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2016T1	12.133.701
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2015T4	14.704.334
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2015T3	38.020.170
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2015T2	17.577.856
Educación primaria e inferior	Pernoctaciones	Valor absoluto	2015T1	9.900.775
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2023T4	7,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2023T3	10,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2023T2	9,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2023T1	8,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2022T4	8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2022T3	9,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2022T2	10,3
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2022T1	7,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2021T4	7,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2021T3	7,1
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2021T2	8,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2021T1	9,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2020T4	7,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2020T3	7,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2020T2	15
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2020T1	10,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2019T4	13,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2019T3	11,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2019T2	10
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2019T1	10,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2018T4	10,6
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2018T3	12,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2018T2	11,1
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2018T1	10,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2017T4	10,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2017T3	12,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2017T2	10,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2017T1	12,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2016T4	15
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2016T3	12,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2016T2	13,1
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2016T1	10,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2015T4	13,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2015T3	13
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2015T2	13,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual	2015T1	11
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2023T4	63.922.251
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2023T3	54.279.261
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2023T2	21.163.557
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2023T1	8.219.843
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2022T4	59.678.067
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2022T3	50.871.484
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2022T2	20.517.417
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2022T1	6.942.796
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2021T4	40.176.831
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2021T3	31.963.886
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2021T2	11.401.424
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2021T1	4.385.696
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2020T4	36.509.732
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2020T3	32.267.726
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2020T2	13.961.021
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2020T1	8.944.875
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2019T4	75.707.327
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2019T3	60.915.516
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2019T2	25.170.848
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2019T1	11.905.978
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2018T4	76.295.124
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2018T3	64.494.727
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2018T2	25.907.270
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2018T1	11.330.534
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2017T4	76.737.666
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2017T3	64.874.834
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2017T2	25.235.509
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2017T1	11.898.561
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2016T4	83.092.949
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2016T3	66.027.196
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2016T2	26.431.599
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2016T1	12.133.701
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2015T4	80.203.135
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2015T3	65.498.801
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2015T2	27.478.631
Educación primaria e inferior	Pernoctaciones	Acumulado en lo que va de año	2015T1	9.900.775
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2023T4	9,6
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2023T3	10
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2023T2	9,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2023T1	8,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2022T4	9,4
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2022T3	9,6
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2022T2	9,3
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2022T1	7,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2021T4	7,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2021T3	7,6
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2021T2	8,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2021T1	9,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2020T4	8,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2020T3	9,1
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2020T2	11,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2020T1	10,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2019T4	11,6
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2019T3	11,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2019T2	10,4
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2019T1	10,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2018T4	11,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2018T3	11,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2018T2	10,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2018T1	10,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2017T4	11,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2017T3	12
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2017T2	11,1
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2017T1	12,2
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2016T4	12,9
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2016T3	12,4
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2016T2	11,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2016T1	10,5
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2015T4	13
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2015T3	12,8
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2015T2	12,7
Educación primaria e inferior	Pernoctaciones	Distribución porcentual del acumulado	2015T1	11
Educación primaria e inferior	Pernoctaciones	Variación anual	2023T4	9,5
Educación primaria e inferior	Pernoctaciones	Variación anual	2023T3	9,1
Educación primaria e inferior	Pernoctaciones	Variación anual	2023T2	-4,65
Educación primaria e inferior	Pernoctaciones	Variación anual	2023T1	18,39
Educación primaria e inferior	Pernoctaciones	Variación anual	2022T4	7,23
Educación primaria e inferior	Pernoctaciones	Variación anual	2022T3	47,62
Educación primaria e inferior	Pernoctaciones	Variación anual	2022T2	93,49
Educación primaria e inferior	Pernoctaciones	Variación anual	2022T1	58,31
Educación primaria e inferior	Pernoctaciones	Variación anual	2021T4	93,61
Educación primaria e inferior	Pernoctaciones	Variación anual	2021T3	12,32
Educación primaria e inferior	Pernoctaciones	Variación anual	2021T2	39,86
Educación primaria e inferior	Pernoctaciones	Variación anual	2021T1	-50,97
Educación primaria e inferior	Pernoctaciones	Variación anual	2020T4	-71,32
Educación primaria e inferior	Pernoctaciones	Variación anual	2020T3	-48,78
Educación primaria e inferior	Pernoctaciones	Variación anual	2020T2	-62,18
Educación primaria e inferior	Pernoctaciones	Variación anual	2020T1	-24,87
Educación primaria e inferior	Pernoctaciones	Variación anual	2019T4	25,35
Educación primaria e inferior	Pernoctaciones	Variación anual	2019T3	-7,37
Educación primaria e inferior	Pernoctaciones	Variación anual	2019T2	-9
Educación primaria e inferior	Pernoctaciones	Variación anual	2019T1	5,08
Educación primaria e inferior	Pernoctaciones	Variación anual	2018T4	-0,53
Educación primaria e inferior	Pernoctaciones	Variación anual	2018T3	-2,65
Educación primaria e inferior	Pernoctaciones	Variación anual	2018T2	9,3
Educación primaria e inferior	Pernoctaciones	Variación anual	2018T1	-4,77
Educación primaria e inferior	Pernoctaciones	Variación anual	2017T4	-30,49
Educación primaria e inferior	Pernoctaciones	Variación anual	2017T3	0,11
Educación primaria e inferior	Pernoctaciones	Variación anual	2017T2	-6,72
Educación primaria e inferior	Pernoctaciones	Variación anual	2017T1	-1,94
Educación primaria e inferior	Pernoctaciones	Variación anual	2016T4	16,06
Educación primaria e inferior	Pernoctaciones	Variación anual	2016T3	4,14
Educación primaria e inferior	Pernoctaciones	Variación anual	2016T2	-18,66
Educación primaria e inferior	Pernoctaciones	Variación anual	2016T1	22,55
Educación primaria e inferior	Pernoctaciones	Variación anual	2015T4	""
Educación primaria e inferior	Pernoctaciones	Variación anual	2015T3	""
Educación primaria e inferior	Pernoctaciones	Variación anual	2015T2	""
Educación primaria e inferior	Pernoctaciones	Variación anual	2015T1	""
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2023T4	7,11
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2023T3	6,7
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2023T2	3,15
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2023T1	18,39
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2022T4	48,54
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2022T3	59,15
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2022T2	79,95
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2022T1	58,31
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2021T4	10,04
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2021T3	-0,94
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2021T2	-18,33
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2021T1	-50,97
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2020T4	-51,78
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2020T3	-47,03
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2020T2	-44,53
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2020T1	-24,87
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2019T4	-0,77
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2019T3	-5,55
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2019T2	-2,84
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2019T1	5,08
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2018T4	-0,58
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2018T3	-0,59
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2018T2	2,66
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2018T1	-4,77
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2017T4	-7,65
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2017T3	-1,75
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2017T2	-4,53
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2017T1	-1,94
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2016T4	3,6
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2016T3	0,81
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2016T2	-3,81
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2016T1	22,55
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2015T4	""
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2015T3	""
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2015T2	""
Educación primaria e inferior	Pernoctaciones	Variación anual del acumulado en lo que va de año	2015T1	""
Educación secundaria primera etapa	Viajes	Valor absoluto	2023T4	7.153.488
